OBJECTID,STREET_DIR,L_LADD,L_LSRC,L_HADD,L_HSRC,R_LADD,R_LSRC,R_HADD,R_HSRC,L_POSTAL,R_POSTAL,STREET_CLA,ONEWAY,ONEWAY_DIR,DATA_ADD1,DATE_EDIT,COMMENTS,WIDTH,GGM_ID,STATUS,CHECK_,SECT_NO,SECT_OLD,ROAD_NAME_ID,SEGMENT_ID,STREET_NAME,STREET_TYPE,STREET_DIR_PREFIX,STREET_TYPE_PREFIX,ALIAS_ST_D,JURISDICTION,FULL_STREET_NAME,ROUTE,L_MUNC_ID,R_MUNC_ID,L_MUNC_FULL,R_MUNC_FULL,END_DATE,ENG_CLASS,SPEED_LIMIT,HEIGHT_LIMIT,PLAN_CLASS,WEIGHT_LIMIT,PLOW_PR,ENTRY_UID,ENTRY_WHEN,GISID,DATA_ADD,TOP_ALIAS,GLOBALID,PARENTID,NUM_PASSES,WINTER_ZON,ResurfacingStage,SHAPESTLength
1,,2120,I,2172,I,2121,I,2173,I, , ,U,,,19970828,19990217, ,0, , ,0,2576, ,782,8824,NIGHTSTAR,DR,,,,M,NIGHTSTAR DR,NIGHTSTAR DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:13:05+00,2576,1970/01/01 00:00:00+00,,{ED4E51AA-EC83-486A-8FDC-340AD182B946},,2,P29,,177.278331594437
2,,2650,I,2666,I,2651,I,2667,I, , ,3,,,19970828,20011123, ,0, , ,0,2577, ,1304,8882,WESTOAK TRAILS,BLVD,,,,M,WESTOAK TRAILS BLVD,WESTOAK TRAILS BLVD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,3,50,,C,,2,RDEAN,2017/11/28 12:55:57+00,2577,1970/01/01 00:00:00+00,,{A7D79B71-43ED-4ADA-991C-7422F95BAFC4},,2,Z12,,67.6136449251534
3,,2084,K,2100,K,2085,K,2101,K, , ,U,,,19970711,19990217, ,0, , ,0,2578, ,975,8327,ROSEHILL,DR,,,,M,ROSEHILL DR,ROSEHILL DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:55:58+00,2578,1970/01/01 00:00:00+00,,{CFB9446F-A52A-4A77-A76F-BB9A01C4A547},,2,P29,,86.6002231115852
5,, ,K, ,K,,K,,K, , ,4,,,19970711,19980528, ,0, , ,0,2580, ,899,8309,POSTMASTER,DR,,,,M,POSTMASTER DR,POSTMASTER DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,C,,2,RDEAN,2017/11/28 12:22:44+00,2580,1970/01/01 00:00:00+00,,{89F831E4-739C-4891-8101-FCE0B4F6069E},,2,Z11,,76.5150284326159
6,,2060,K,2100,K,2059,K,2099,K, , ,U,,,19980528,19980528, ,0, , ,0,2581, ,440,8916,GOLDEN ORCHARD,TRAIL,,,,M,GOLDEN ORCHARD TRAIL,GOLDEN ORCHARD TRAIL,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:55:58+00,2581,1970/01/01 00:00:00+00,,{6EC6524A-707F-495B-A1A7-C07A093D1BA9},,2,P29,,145.558221907611
7,,2102,K,2134,K,2103,K,2135,K, , ,U,,,19970711,20010223, ,0, , ,0,2582, ,975,8829,ROSEHILL,DR,,,,M,ROSEHILL DR,ROSEHILL DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:47:32+00,2582,1970/01/01 00:00:00+00,,{4FFD5941-A92A-40DB-9451-4221D6695B39},,2,P29,,77.0712403295053
8,,2136,K,2168,K,2137,K,2169,K, , ,U,,,19970711,19990217, ,0, , ,0,2583, ,975,8829,ROSEHILL,DR,,,,M,ROSEHILL DR,ROSEHILL DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:55:59+00,2583,1970/01/01 00:00:00+00,,{CB65690A-E69D-4C5C-A4F3-D2C25A445D17},,2,P29,,101.348089089464
9,,2174,I,2284,I,2175,I,2285,I, , ,U,,,19970828,19990217, ,0, , ,0,2584, ,867,8830,PELL,CRES,,,,M,PELL CRES,PELL CRES,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:13:06+00,2584,1970/01/01 00:00:00+00,,{CF41A153-C5C0-4C38-897F-64ED265BE7A8},,2,P29,,274.975717085747
10,,2001,K,2065,I,2000,I,2066,K, , ,U,,,19970828,20010223, ,0, , ,0,2585, ,656,8832,LAURELCREST,PL,,,,M,LAURELCREST PL,LAURELCREST PL,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:56:00+00,2585,1970/01/01 00:00:00+00,,{E3D86D72-36C3-4744-A0A4-395EC64E907D},,2,P29,,257.954107600038
11,,2190,I,2218,K,2191,I,2219,K, , ,U,,,19970828, , ,0, , ,0,2586, ,1121,8833,STILLMEADOW,RD,,,,M,STILLMEADOW RD,STILLMEADOW RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 12:56:00+00,2586,1970/01/01 00:00:00+00,,{73DF52A7-31BD-4E76-B710-D0F5C8521A79},,1,Z12,,75.5328464251098
12,,2174,I,2188,K,2175,I,2189,K, , ,U,,,19970828, , ,0, , ,0,2587, ,1121,8831,STILLMEADOW,RD,,,,M,STILLMEADOW RD,STILLMEADOW RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 12:56:01+00,2587,1970/01/01 00:00:00+00,,{0C6C4302-1E78-43AD-99D0-F5A3FB001921},,1,Z12,,60.2597480662339
13,,2036,K,2118,K,2037,K,2117,K, , ,U,,,19970828,19990217, ,0, , ,0,2588, ,428,8834,GLENHAMPTON,RD,,,,M,GLENHAMPTON RD,GLENHAMPTON RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,3,RDEAN,2017/11/28 13:13:06+00,2588,1970/01/01 00:00:00+00,,{92086270-EFAF-4C33-B7C7-286B300224BF},,2,P29,,274.65314302446
